Strength Winning Deck,Strong Cards Power Winning Deck,Strongest Cards Power Winning Deck,Amount of Strong Cards Winning Deck,Amount of Strongest Cards Winning Deck,Count of plays
203,136,65,13,5,247
200,145,62,14,5,447
205,153,89,14,7,208
232,181,135,16,11,167
212,166,111,15,9,249
209,150,102,13,8,152
223,175,139,15,11,34
232,184,139,16,11,131
193,121,75,11,6,997
199,140,103,12,8,365
198,138,102,12,8,90
222,173,128,15,10,619
177,105,51,10,4,274
214,159,103,14,8,226
217,166,113,15,9,745
198,131,76,12,6,252
215,158,102,14,8,456
211,162,89,15,7,555
189,113,65,10,5,281
215,166,114,15,9,229
219,164,127,14,10,174
223,168,122,15,10,330
230,183,114,17,9,337
216,168,105,15,8,360
199,153,101,14,8,438
219,178,125,16,10,325
182,122,62,12,5,172
211,160,123,14,10,170
193,144,100,13,8,491
215,170,100,16,8,138
223,168,114,15,9,716
212,167,111,15,9,190
205,146,81,13,6,177
205,140,103,12,8,334
204,145,101,13,8,166
195,129,77,12,6,456
200,152,73,15,6,399
209,152,100,14,8,178
200,129,103,11,8,195
195,120,75,11,6,168
201,143,89,13,7,277
194,134,100,12,8,195
225,172,116,15,9,127
229,186,102,17,8,518
239,199,153,17,12,36
195,139,77,13,6,155
208,149,85,14,7,516
193,125,99,11,8,133
189,135,63,13,5,160
204,156,85,15,7,471
221,183,101,17,8,39
236,196,150,17,12,135
178,105,59,10,5,187
204,152,89,14,7,113
215,165,113,15,9,181
207,147,92,13,7,1213
206,147,113,13,9,164
212,166,112,15,9,215
212,162,99,15,8,193
222,173,137,15,11,180
210,153,102,14,8,138
217,168,117,15,9,78
222,173,128,15,10,127
222,176,102,16,8,119
214,150,115,13,9,309
217,164,117,14,9,78
230,197,126,18,10,777
230,176,104,16,8,103
214,166,113,15,9,254
185,119,103,10,8,379
217,159,115,14,9,106
225,178,114,16,9,517
246,208,154,18,12,91
205,153,99,14,8,316
228,200,127,18,10,62
215,170,126,15,10,309
238,195,141,17,11,63
209,165,101,15,8,408
208,148,113,13,9,78
218,166,102,15,8,132
202,154,91,14,7,798
220,164,112,15,9,72
206,146,88,13,7,84
184,114,97,10,8,155
220,187,126,17,10,103
204,162,62,16,5,641
221,176,122,16,10,215
208,155,101,14,8,325
205,152,89,14,7,394
204,145,99,13,8,220
230,201,137,18,11,537
216,164,102,15,8,164
227,189,126,17,10,92
188,127,92,11,7,316
193,130,85,12,7,328
185,116,52,11,4,623
216,165,129,14,10,831
224,174,128,15,10,60
199,136,101,12,8,266
223,181,108,17,9,495
189,128,84,12,7,538
202,148,76,14,6,211
205,142,87,13,7,168
203,150,86,14,7,386
205,154,90,14,7,421
229,189,136,17,11,244
190,142,86,13,7,185
186,134,88,12,7,401
190,120,76,11,6,1204
214,172,99,16,8,167
201,149,96,14,8,804
204,146,100,13,8,205
233,199,128,18,10,89
212,165,104,15,8,138
214,168,114,15,9,111
209,144,90,13,7,348
186,119,65,11,5,988
217,154,127,13,10,54
203,145,117,12,9,252
183,115,60,11,5,230
234,187,141,16,11,181
193,135,90,12,7,80
206,152,89,14,7,214
211,166,113,15,9,119
200,143,89,13,7,1369
230,189,128,17,10,184
229,191,130,17,10,317
193,134,65,13,5,354
210,152,89,14,7,117
194,143,78,13,6,507
219,155,127,13,10,227
209,156,103,14,8,489
223,187,133,17,11,208
204,154,100,14,8,199
206,153,97,14,8,287
226,174,94,16,7,95
228,190,126,17,10,84
199,148,112,13,9,366
208,164,101,15,8,235
209,157,114,14,9,158
205,149,114,13,9,626
205,146,102,13,8,166
201,151,89,14,7,247
204,148,86,14,7,340
208,159,113,14,9,111
241,196,151,17,12,89
212,161,98,15,8,222
209,168,89,16,7,150
182,122,77,11,6,154
238,199,126,18,10,62
229,180,126,16,10,68
205,136,98,12,8,200
177,97,51,9,4,362
225,182,111,17,9,391
191,129,74,12,6,368
207,137,91,12,7,151
199,139,88,13,7,308
216,162,91,15,7,153
194,136,88,12,7,174
213,173,121,16,10,757
194,131,97,12,8,588
216,162,126,14,10,545
209,155,100,14,8,230
212,160,115,14,9,145
209,152,102,14,8,155
181,111,75,10,6,120
203,137,100,12,8,280
214,165,102,15,8,124
190,122,74,11,6,323
210,175,110,16,9,448
212,157,112,14,9,150
210,159,114,14,9,67
241,199,161,17,13,103
190,133,88,12,7,329
215,162,115,14,9,214
186,123,87,11,7,363
212,160,99,15,8,304
207,157,113,14,9,320
209,167,111,15,9,287
229,182,136,16,11,129
216,165,112,15,9,297
204,153,99,14,8,189
202,141,103,12,8,147
208,157,102,14,8,291
197,140,88,13,7,372
202,143,92,13,7,94
209,162,88,15,7,239
216,175,101,16,8,112
227,186,126,17,10,181
216,171,126,15,10,75
223,178,97,17,8,129
215,173,100,16,8,285
202,152,89,14,7,201
204,136,102,12,8,190
210,164,110,15,9,205
211,157,112,14,9,219
220,166,102,15,8,181
235,196,113,18,9,242
209,149,104,13,8,275
220,172,126,15,10,116
208,156,103,14,8,290
185,108,63,10,5,390
207,149,123,13,10,1201
211,150,102,13,8,102
210,138,103,12,8,132
223,183,100,17,8,134
210,163,91,15,7,136
216,164,102,15,8,139
219,178,126,16,10,183
217,174,100,16,8,531
192,119,74,11,6,357
217,178,116,16,9,69
205,156,111,14,9,305
184,117,63,11,5,496
210,161,115,14,9,60
198,130,66,12,5,448
190,124,72,12,6,157
214,152,79,14,6,107
237,201,149,18,12,604
212,150,104,13,8,223
210,154,92,14,7,122
221,178,88,17,7,197
215,166,102,15,8,193
206,158,103,14,8,129
211,152,99,14,8,508
210,157,109,14,9,308
207,161,100,15,8,468
194,120,87,11,7,421
194,141,76,13,6,504
210,158,101,14,8,142
185,128,94,12,8,168
226,189,137,17,11,207
204,136,100,12,8,712
203,136,100,12,8,254
210,171,125,15,10,131
198,142,105,12,8,146
221,174,138,15,11,301
212,161,115,14,9,353
191,134,62,13,5,328
207,161,89,15,7,259
233,201,128,18,10,94
220,163,126,14,10,288
177,119,74,11,6,380
221,168,115,15,9,466
228,172,127,15,10,110
211,160,113,14,9,194
216,169,105,15,8,122
230,187,127,17,10,461
238,181,126,16,10,73
213,151,87,14,7,134
211,146,101,13,8,253
227,192,140,17,11,37
209,147,100,13,8,168
216,176,103,16,8,104
230,187,123,17,10,213
205,142,98,13,8,277
196,131,77,12,6,498
199,139,87,13,7,485
227,187,117,17,9,138
217,179,126,16,10,138
223,174,112,16,9,196
215,168,115,15,9,189
199,131,75,12,6,369
212,169,127,15,10,98
202,133,79,12,6,129
219,173,148,15,12,76
208,162,88,15,7,242
204,148,101,13,8,418
202,150,87,14,7,240
215,168,115,15,9,168
223,181,126,16,10,187
221,172,101,16,8,120
209,143,115,12,9,133
188,125,88,11,7,248
215,159,115,14,9,79
232,197,113,18,9,347
232,189,126,17,10,114
216,183,111,17,9,125
209,147,92,13,7,179
227,177,114,16,9,125
208,164,101,15,8,225
206,154,101,14,8,181
231,191,129,17,10,75
221,178,125,16,10,352
219,168,102,15,8,77
202,135,90,12,7,135
228,189,116,17,9,48
209,160,87,15,7,321
231,186,138,16,11,429
210,156,101,14,8,168
200,153,73,15,6,495
188,113,49,11,4,489
191,118,100,10,8,232
206,154,89,14,7,511
206,152,109,14,9,162
206,156,100,14,8,591
196,135,74,13,6,222
199,145,75,14,6,334
209,152,125,13,10,679
209,157,87,15,7,138
211,145,99,13,8,375
200,148,114,13,9,151
228,187,114,17,9,119
203,154,100,14,8,201
209,160,88,15,7,414
217,171,115,15,9,315
214,170,109,16,9,1152
213,158,103,14,8,65
210,156,101,14,8,302
215,168,122,15,10,187
196,149,103,13,8,117
201,146,98,13,8,227
201,154,90,14,7,139
195,149,84,14,7,358
204,141,88,13,7,634
194,126,64,12,5,223
203,141,116,12,9,312
211,160,125,14,10,391
214,162,101,15,8,178
193,129,75,12,6,149
219,180,113,16,9,208
194,128,65,12,5,148
227,192,138,17,11,151
221,163,118,14,9,69
207,154,127,13,10,360
220,172,102,16,8,108
223,172,110,16,9,187
223,175,123,16,10,379
223,171,125,15,10,75
227,174,138,15,11,605
194,145,75,14,6,463
224,158,125,14,10,281
237,199,138,18,11,183
220,175,101,16,8,249
204,155,99,14,8,130
217,157,111,14,9,281
217,165,101,15,8,615
218,161,98,15,8,630
205,145,90,13,7,382
190,121,76,11,6,488
199,135,100,12,8,220
230,185,122,17,10,91
196,135,89,12,7,421
223,180,124,16,10,77
226,186,123,17,10,262
203,160,88,15,7,623
197,136,90,12,7,392
204,159,86,15,7,569
216,173,101,16,8,191
222,170,114,15,9,157
207,158,115,14,9,203
215,177,114,16,9,261
225,178,107,17,9,273
208,155,103,14,8,167
216,154,100,14,8,677
225,186,125,17,10,148
204,145,98,13,8,230
193,122,88,11,7,114
209,155,101,14,8,305
220,172,126,15,10,144
211,158,112,14,9,785
200,138,78,13,6,255
213,154,127,13,10,107
194,146,75,14,6,303
203,145,101,13,8,158
210,156,111,14,9,261
225,174,118,15,9,286
241,214,124,20,10,37
215,166,103,15,8,217
199,150,87,14,7,593
195,141,86,13,7,101
223,173,138,15,11,158
225,170,135,15,11,85
206,146,102,13,8,153
199,131,86,12,7,381
189,111,65,10,5,324
211,172,100,16,8,300
217,172,126,15,10,377
222,176,115,16,9,86
215,175,115,16,9,172
194,146,74,14,6,209
220,175,112,16,9,376
